frame,time_s,mean_luma,median_luma,p5_luma,p95_luma,rms_contrast,clip_low_pct,clip_high_pct,exposure_index,classification
202,16.8333,30.5381,27.4854,10.1444,52.2298,16.2415,2.5318,0.0,0.2588,very dark
204,17.0,30.7351,27.408,10.647,52.2888,16.2954,2.2491,0.0,0.2605,very dark
206,17.1667,30.7073,27.408,11.1444,52.2888,16.142,2.0957,0.0,0.2602,very dark
208,17.3333,30.7719,27.408,11.412,52.2888,16.0663,1.7322,0.0,0.2608,very dark
210,17.5,30.7748,27.408,11.6286,52.2888,15.9765,1.5372,0.0,0.2608,very dark
212,17.6667,31.3184,27.9828,11.9146,52.7914,17.1468,1.098,0.0,0.2654,very dark
214,17.8333,30.7728,27.408,11.714,52.2888,15.6938,1.2677,0.0,0.2608,very dark
216,18.0,30.93,27.9014,11.8636,52.2888,15.8471,1.1378,0.0003,0.2621,very dark
218,18.1667,30.9605,27.9266,12.118,52.2888,15.8634,1.0405,0.0,0.2624,very dark
220,18.3333,30.9007,27.9266,12.1404,52.2888,15.9563,0.9642,0.0,0.2619,very dark
222,18.5,30.7516,27.9266,12.1312,52.2888,15.7558,1.105,0.0,0.2606,very dark
224,18.6667,30.6208,27.9266,12.2166,52.2298,15.5917,0.9549,0.0,0.2595,very dark
226,18.8333,30.5026,27.9266,12.1312,51.2888,15.4479,0.9666,0.0,0.2585,very dark
228,19.0,30.8446,28.6206,12.0458,51.4424,16.972,0.9018,0.0003,0.2614,very dark
230,19.1667,30.2389,27.7782,11.8492,51.2888,15.2958,0.9413,0.0,0.2563,very dark
232,19.3333,30.31,27.9014,11.9828,51.2888,15.22,0.8485,0.0,0.2569,very dark
234,19.5,30.4402,27.9828,12.0538,51.2888,15.5822,0.869,0.0,0.258,very dark
236,19.6667,30.543,28.0,12.1312,51.2888,15.5433,0.8138,0.0,0.2588,very dark
238,19.8333,30.7566,28.5484,12.2756,51.2888,15.5226,0.5431,0.0,0.2606,very dark
240,20.0,30.8667,28.4848,12.9868,51.2888,15.5202,0.2059,0.0,0.2616,very dark
242,20.1667,30.4374,27.9106,12.9106,50.5788,14.1292,0.1597,0.0,0.2579,very dark
244,20.3333,30.4905,27.9828,13.0458,50.5788,14.216,0.1001,0.0,0.2584,very dark
246,20.5,30.5346,27.9828,13.118,50.5788,14.173,0.0527,0.0,0.2588,very dark
248,20.6667,30.5651,27.9828,13.118,50.6968,14.1932,0.0452,0.0,0.259,very dark
250,20.8333,30.5492,27.9828,13.0458,50.595,14.0706,0.0401,0.0,0.2589,very dark
252,21.0,30.1149,27.4424,12.71,49.9828,12.8037,0.0292,0.0,0.2552,very dark
254,21.1667,30.1079,27.408,12.6194,49.7822,12.8203,0.0383,0.0,0.2552,very dark
256,21.3333,30.1141,27.408,12.6194,49.7822,12.8072,0.0437,0.0,0.2552,very dark
258,21.5,30.1216,27.408,12.6338,49.7376,12.7977,0.0404,0.0,0.2553,very dark
260,21.6667,30.1367,27.408,12.8636,49.7822,12.7993,0.0332,0.0,0.2554,very dark
262,21.8333,30.1606,27.408,12.9868,49.9306,12.7895,0.0286,0.0,0.2556,very dark
264,22.0,30.2066,27.5816,12.7782,50.0132,12.7967,0.038,0.0,0.256,very dark
266,22.1667,30.1949,27.5106,12.7782,50.0132,12.7986,0.0386,0.0,0.2559,very dark
268,22.3333,30.2052,27.6338,12.828,50.0132,12.7983,0.0347,0.0,0.256,very dark
270,22.5,30.2038,27.6384,12.828,50.2258,12.7991,0.0353,0.0,0.256,very dark
272,22.6667,30.1821,27.5816,12.828,50.2258,12.7849,0.0359,0.0,0.2558,very dark
274,22.8333,30.2005,27.655,12.9828,50.0132,12.7604,0.0368,0.0,0.2559,very dark
276,23.0,30.2597,27.71,13.118,50.0132,12.7128,0.044,0.0,0.2564,very dark
278,23.1667,30.2489,27.71,13.118,49.9542,12.7261,0.0301,0.0,0.2563,very dark
280,23.3333,30.2482,27.71,13.118,49.9542,12.7272,0.0301,0.0,0.2563,very dark
282,23.5,30.2546,27.71,13.118,49.9542,12.729,0.0289,0.0,0.2564,very dark
284,23.6667,30.2515,27.71,13.118,49.9306,12.7297,0.0271,0.0,0.2564,very dark
286,23.8333,30.2552,27.71,13.118,49.9306,12.7312,0.0244,0.0,0.2564,very dark
288,24.0,30.2554,27.655,13.118,50.2298,12.7501,0.0377,0.0,0.2564,very dark
290,24.1667,30.2561,27.71,13.118,50.2258,12.7426,0.0259,0.0,0.2564,very dark
292,24.3333,30.2566,27.71,13.118,50.2258,12.7432,0.0262,0.0,0.2564,very dark
294,24.5,30.251,27.71,13.118,50.2258,12.7454,0.0265,0.0,0.2564,very dark
296,24.6667,30.2542,27.71,13.118,50.0132,12.7488,0.0262,0.0,0.2564,very dark
298,24.8333,30.2568,27.71,13.118,50.0132,12.7472,0.0262,0.0,0.2564,very dark
300,25.0,30.2551,27.71,13.0458,49.9542,12.7574,0.0416,0.0,0.2564,very dark
302,25.1667,30.228,27.655,13.0458,49.361,12.7669,0.0392,0.0,0.2562,very dark
304,25.3333,30.2285,27.655,13.0458,49.361,12.7673,0.0392,0.0,0.2562,very dark
306,25.5,30.2287,27.655,13.0458,49.361,12.7671,0.0392,0.0,0.2562,very dark
308,25.6667,30.2294,27.655,13.0458,49.361,12.7667,0.0392,0.0,0.2562,very dark
310,25.8333,30.2316,27.655,13.0458,50.2258,12.7725,0.0392,0.0,0.2562,very dark
312,26.0,30.2775,27.71,13.118,50.5788,12.7483,0.0235,0.0,0.2566,very dark
314,26.1667,30.2648,27.655,13.118,50.5788,12.7589,0.0259,0.0,0.2565,very dark
316,26.3333,30.2588,27.655,13.118,50.5788,12.7613,0.0223,0.0,0.2564,very dark
318,26.5,30.2584,27.655,13.118,50.5788,12.7551,0.0232,0.0,0.2564,very dark
320,26.6667,30.2615,27.655,13.118,50.5788,12.7595,0.0214,0.0,0.2565,very dark
