frame,time_s,mean_luma,median_luma,p5_luma,p95_luma,rms_contrast,clip_low_pct,clip_high_pct,exposure_index,classification
250,20.8333,107.8197,100.6354,49.8858,174.797,43.0023,0.0,0.0,0.9137,well-exposed
252,21.0,107.7348,100.558,49.3344,174.797,43.1378,0.0,0.0,0.913,well-exposed
254,21.1667,107.7848,100.4978,49.2182,174.797,43.259,0.0,0.0,0.9134,well-exposed
256,21.3333,107.8143,100.4222,49.2142,174.797,43.2336,0.0,0.0,0.9137,well-exposed
258,21.5,107.8555,100.5076,49.2182,174.797,43.1977,0.0,0.0,0.914,well-exposed
260,21.6667,107.9119,100.4978,49.4788,174.797,43.1859,0.0,0.0,0.9145,well-exposed
262,21.8333,108.0618,100.5575,49.5734,174.797,43.1204,0.0,0.0,0.9158,well-exposed
264,22.0,108.0695,100.5666,49.6926,174.797,43.1067,0.0,0.0,0.9158,well-exposed
266,22.1667,108.0965,100.6354,49.6244,174.797,43.1193,0.0,0.0,0.9161,well-exposed
268,22.3333,108.0791,100.6354,49.8766,174.797,43.1215,0.0,0.0,0.9159,well-exposed
270,22.5,108.0655,100.5706,49.8462,174.8812,43.1125,0.0,0.0,0.9158,well-exposed
272,22.6667,108.042,100.6354,50.19,174.8904,43.0243,0.0,0.0,0.9156,well-exposed
274,22.8333,108.2352,100.8342,50.488,174.813,42.8514,0.0,0.0,0.9172,well-exposed
276,23.0,108.2662,100.84,50.5592,174.8958,42.8188,0.0,0.0,0.9175,well-exposed
278,23.1667,108.3216,100.8634,50.715,174.8904,42.8163,0.0,0.0,0.918,well-exposed
280,23.3333,108.3224,100.9196,50.6404,175.2904,42.8342,0.0,0.0,0.918,well-exposed
282,23.5,108.2831,100.9196,50.4788,175.2904,42.8596,0.0,0.0,0.9177,well-exposed
284,23.6667,108.2917,100.8594,50.4788,175.2904,42.8819,0.0,0.0,0.9177,well-exposed
286,23.8333,108.2711,100.8382,50.4474,175.2262,42.8992,0.0,0.0,0.9176,well-exposed
288,24.0,108.2544,100.7798,50.4788,175.2904,42.895,0.0,0.0,0.9174,well-exposed
290,24.1667,108.2795,100.715,50.4157,175.2904,42.9083,0.0,0.0,0.9176,well-exposed
292,24.3333,108.3203,100.7798,50.4014,175.2904,42.898,0.0,0.0,0.918,well-exposed
294,24.5,108.2594,100.7752,50.3504,175.2904,42.9173,0.0,0.0,0.9175,well-exposed
296,24.6667,108.3155,100.7752,50.3349,175.1816,42.8868,0.0,0.0,0.9179,well-exposed
298,24.8333,108.3178,100.7778,50.3504,175.2203,42.8919,0.0,0.0,0.9179,well-exposed
300,25.0,108.2348,100.7798,50.257,174.8958,42.9064,0.0,0.0,0.9172,well-exposed
302,25.1667,108.239,100.7798,50.2428,174.813,42.9185,0.0,0.0,0.9173,well-exposed
304,25.3333,108.25,100.7798,50.257,174.813,42.914,0.0,0.0,0.9174,well-exposed
306,25.5,108.2634,100.7798,50.2851,174.813,42.9049,0.0,0.0,0.9175,well-exposed
308,25.6667,108.3034,100.7878,50.3344,174.813,42.8717,0.0,0.0,0.9178,well-exposed
310,25.8333,108.3533,100.8634,50.4014,175.13,42.8596,0.0,0.0,0.9182,well-exposed
312,26.0,108.3224,100.7798,50.3344,175.1816,42.8735,0.0,0.0,0.918,well-exposed
314,26.1667,108.2635,100.7678,50.3344,175.0282,42.8979,0.0,0.0,0.9175,well-exposed
316,26.3333,108.2867,100.7752,50.3344,175.2262,42.8969,0.0,0.0,0.9177,well-exposed
318,26.5,108.2685,100.8518,50.2782,174.8904,42.9006,0.0,0.0,0.9175,well-exposed
320,26.6667,108.3401,100.8904,50.3344,175.2262,42.89,0.0,0.0,0.9181,well-exposed
322,26.8333,108.3369,100.7896,50.3504,175.1075,42.8941,0.0,0.0,0.9181,well-exposed
324,27.0,108.1969,100.7279,49.9814,175.1042,43.004,0.0,0.0,0.9169,well-exposed
326,27.1667,108.2552,100.6984,49.9814,175.2262,43.0132,0.0,0.0,0.9174,well-exposed
328,27.3333,108.2749,100.6354,50.0698,175.036,43.0174,0.0,0.0,0.9176,well-exposed
330,27.5,108.2258,100.6332,50.0228,174.797,43.0093,0.0,0.0,0.9172,well-exposed
332,27.6667,108.1621,100.5706,49.9814,175.0886,43.0491,0.0,0.0,0.9166,well-exposed
334,27.8333,108.1277,100.4222,49.966,174.797,43.0661,0.0,0.0,0.9163,well-exposed
336,28.0,107.9712,100.001,49.508,175.1816,43.2433,0.0,0.0,0.915,well-exposed
338,28.1667,106.9247,97.8514,47.1408,174.8916,44.1394,0.0,0.0,0.9061,well-exposed
340,28.3333,106.4325,97.848,44.0094,174.8958,44.7288,0.0,0.0,0.902,well-exposed
342,28.5,106.0162,97.7574,41.954,174.797,45.1442,0.0524,0.0,0.8984,well-exposed
344,28.6667,105.456,97.6497,38.9294,174.797,45.9127,0.5914,0.0,0.8937,well-exposed
346,28.8333,105.3217,98.491,35.3626,174.797,46.392,0.9202,0.0,0.8926,well-exposed
348,29.0,105.8597,101.5059,32.491,174.797,46.9107,0.3484,0.0,0.8971,well-exposed
350,29.1667,107.038,105.793,33.2652,175.2904,46.9366,0.0027,0.0,0.9071,well-exposed
352,29.3333,107.8802,107.9958,35.802,175.5804,46.4136,0.0,0.0,0.9142,well-exposed
354,29.5,108.0942,108.785,36.617,175.2904,46.0349,0.0,0.0,0.9161,well-exposed
356,29.6667,107.165,107.2904,35.3506,175.2904,46.1488,0.0009,0.0,0.9082,well-exposed
358,29.8333,107.8049,106.4314,36.3374,177.0096,46.394,0.0,0.0,0.9136,well-exposed
360,30.0,110.0942,107.5592,40.0778,180.0778,46.5334,0.0,0.0,0.933,well-exposed
362,30.1667,109.6918,105.8492,41.6182,181.0778,46.4613,0.0,0.0,0.9296,well-exposed
364,30.3333,109.3779,103.9752,42.7288,181.0778,46.0747,0.0,0.0,0.9269,well-exposed
366,30.5,109.6079,103.1804,45.0108,182.2904,45.8159,0.0,0.0,0.9289,well-exposed
368,30.6667,109.7018,102.9878,45.8634,182.8916,45.811,0.0,0.0,0.9297,well-exposed
370,30.8333,110.0278,102.9878,46.4716,183.7985,45.7889,0.0,0.0,0.9324,well-exposed
372,31.0,110.1215,102.4852,47.4622,184.3954,45.5614,0.0,0.0,0.9332,well-exposed
374,31.1667,111.0448,103.3506,49.425,184.8652,45.229,0.0,0.0006,0.9411,well-exposed
376,31.3333,111.6582,104.848,49.7414,185.1776,45.2467,0.0,0.0003,0.9463,well-exposed
378,31.5,111.9053,105.2142,50.6026,184.8652,45.3171,0.0,0.0027,0.9484,well-exposed
380,31.6667,111.9581,105.507,50.213,184.141,45.567,0.0,0.0181,0.9488,well-exposed
382,31.8333,111.5602,104.934,49.8381,182.6016,45.6882,0.0,0.0238,0.9454,well-exposed
384,32.0,109.4207,100.9958,49.6404,178.0096,45.0808,0.0,0.0295,0.9273,well-exposed
386,32.1667,108.4742,97.1282,49.794,177.0096,45.082,0.0,0.0298,0.9193,well-exposed
388,32.3333,108.1961,95.5706,50.1126,175.1408,44.6375,0.0,0.0292,0.9169,well-exposed
390,32.5,108.6269,97.8514,48.9986,175.797,44.6149,0.0,0.0151,0.9206,well-exposed
392,32.6667,109.18,100.0904,48.538,176.3626,44.5979,0.0,0.0,0.9253,well-exposed
394,32.8333,109.2811,101.3374,47.7166,176.8652,44.3971,0.0,0.0,0.9261,well-exposed
396,33.0,109.1354,101.083,47.2232,176.5097,44.4363,0.0,0.0,0.9249,well-exposed
398,33.1667,108.5113,100.5706,47.6748,175.797,44.1193,0.0,0.0,0.9196,well-exposed
400,33.3333,107.3462,98.287,47.3832,174.797,43.8934,0.0,0.0,0.9097,well-exposed
402,33.5,105.9504,95.3506,46.6588,174.2184,43.925,0.0,0.0,0.8979,well-exposed
404,33.6667,105.2245,93.9958,46.7454,173.2262,43.6871,0.0,0.0,0.8917,well-exposed
406,33.8333,104.8679,94.0311,46.7454,172.7248,43.5031,0.0,0.0,0.8887,well-exposed
408,34.0,104.8296,94.4202,46.9464,172.5804,43.4653,0.0,0.0,0.8884,well-exposed
410,34.1667,104.9017,94.9196,47.0406,172.5804,43.4335,0.0,0.0,0.889,well-exposed
412,34.3333,105.0386,95.5145,47.2536,172.456,43.3404,0.0,0.0,0.8902,well-exposed
414,34.5,105.2299,96.036,47.7848,172.7248,43.1308,0.0,0.0,0.8918,well-exposed
