sequence,frames,mean_iou_yolo,success_auc_yolo,success_at_50_yolo,precision_yolo,mean_cerr_yolo,ceiling_iou_yolo,mean_iou_csrt,success_at_50_csrt,csrt_fps,object_type,object_category,primary_challenge,secondary_challenge,num_frames,difficulty,notes,trans_px_mean,trans_px_p95,rot_deg_mean,zoom_abs_mean,jerk_px_mean,inlier_frac_mean,silhouette_complexity,convex_hull_ratio,texture_entropy,color_entropy,edge_density,fg_bg_contrast,tier_yolo,tier_csrt,disagreement,csrt_first_loss_frame,csrt_frac_before_loss,knee_motion_blur,fragility_labels
Car4,659.0,0.5574929311476619,0.5621070886624756,0.6798179059180577,0.6798179059180577,2.8642871834716006,0.5656650201458093,0.8634,1.0,66.05,vehicle,car,illumination,scale_variation,659,medium,Car in varying light,2.3823,3.7477,0.2301,0.0136,1.3883,0.9192,,,2.8112,-0.0,0.117,,SUCCESS,SUCCESS,,,1.0,,
CarDark,393.0,0.021019531282039,0.0665212649945474,0.0254452926208651,0.0407124681933842,6.029535283815583,0.2070916415859458,0.879,1.0,89.77,vehicle,car,illumination,low_resolution,393,hard,Car in near-darkness,2.1817,3.2024,0.1842,0.0111,0.8015,0.9374,,,4.4988,4.4208,0.2654,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
CarScale,252.0,0.5643664334200511,0.570861678004535,0.6388888888888888,0.6388888888888888,1.5013055990495103,0.8872458302139834,0.6369,0.6905,86.44,vehicle,car,scale_variation,background_clutter,253,medium,Car changing size,6.7712,19.4003,0.1032,0.0024,0.824,0.8772,5.8627,3.3333,3.8701,5.4944,0.2619,,SUCCESS,SUCCESS,,,1.0,,
ClifBar,472.0,0.0588251372735223,0.0812146892655367,0.0,0.163135593220339,36.80555052666466,0.0591423204769143,0.2371,0.3008,89.62,object,misc,illumination,rotation,472,hard,Small brand object — not COCO,0.3884,0.9622,0.1166,0.0023,0.2053,0.9141,,,4.4067,-0.0,0.3198,,FAILURE,FAILURE,,150.0,0.3177966101694915,,
Couple,140.0,0.0012107386751382,0.0479591836734693,0.0,0.0,56.95887118801562,0.4846557700712771,0.5819,0.7286,98.96,person,person,scale_variation,deformation,140,medium,Two people walking,10.8112,26.2297,1.0774,0.0035,12.3433,0.8759,,,4.1961,6.0165,0.2374,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
Crowds,347.0,0.0596941436001596,0.1019623987923699,0.0951008645533141,0.0979827089337175,2.9878433227222008,0.1841698307712784,0.6263,0.8329,83.93,person,person,background_clutter,occlusion,347,hard,Target lost in crowd,0.105,0.243,0.0114,0.0002,0.0963,0.9652,,,4.2661,1.8565,0.254,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
David,471.0,0.0032640223746099,0.0503488019411586,0.0,0.0,53.392794127326496,0.0735720305146285,0.2441,0.1189,72.51,face,person,illumination,occlusion,770,hard,Face sequence — partial COCO,4.4468,9.5532,0.5141,0.0076,2.992,0.8762,,,3.0002,4.7671,0.0,,FAILURE,FAILURE,,51.0,0.10828025477707007,,
Deer,71.0,0.0014537438461617,0.0489604292421193,0.0,0.0,150.92622494985733,0.0500414740114139,0.7814,1.0,61.07,animal,misc,fast_motion,low_resolution,71,hard,Deer — not a COCO class,25.2224,54.9204,1.6362,0.0106,14.6594,0.1809,8.9997,1.7132,2.9684,4.8368,0.0523,0.6444,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
Dudek,1145.0,0.174968608403597,0.1931378665003119,0.0157205240174672,0.0131004366812227,98.47055542350824,0.174968608403597,0.7917,0.9913,40.77,person,person,occlusion,deformation,1145,hard,Person behind obstacles,2.8358,8.8341,0.1159,0.0017,1.0149,0.8799,,,2.2188,-0.0,0.0458,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
Football,362.0,0.0095039270835832,0.053670086819258,0.0,0.0,98.64610598109248,0.0247797904446397,0.6979,0.8895,68.27,person,person,fast_motion,motion_blur,362,hard,Ball too small; fast motion,2.7273,6.7845,0.3662,0.0025,2.3376,0.7679,,,4.0333,-0.0,0.2872,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,,1.0,,
Freeman4,283.0,0.0015629156551409,0.0487969039205788,0.0,0.0,58.18045801393023,0.0267335201077355,0.1304,0.159,51.41,person,person,occlusion,illumination,297,medium,Person with partial occlusion,0.3814,0.8531,0.0661,0.0007,0.3358,0.8029,,,4.4912,-0.0,0.3167,,FAILURE,FAILURE,,46.0,0.1625441696113074,,
Girl,500.0,0.0807868010826211,0.116095238095238,0.0,0.274,17.529035103387237,0.2357872547790675,0.6132,0.836,91.88,person,person,scale_variation,rotation,500,medium,Walking girl; scale changes,1.897,4.9957,0.6896,0.0113,1.401,0.915,,,3.6347,4.4715,0.2695,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,441.0,0.882,,
Human4,,,,,,,,,,,person,person,deformation,illumination,667,medium,Deforming human silhouette,,,,,,,,,,,,,NO_DATA,NO_DATA,,,,,
Human6,792.0,0.2754641146721048,0.3001443001443001,0.3787878787878788,0.4078282828282828,4.680325566533411,0.4984273329476579,0.2314,0.226,69.43,person,person,background_clutter,fast_motion,792,hard,Person in complex scene,6.5921,15.7897,0.0541,0.002,3.9937,0.9283,28.0758,0.9528,4.1326,4.4247,0.199,0.7776,FAILURE,FAILURE,,233.0,0.29419191919191917,,
Ironman,166.0,0.0030704645092448,0.0481927710843373,0.0,0.0,106.24661311105234,0.0360557291373362,0.0868,0.1024,81.79,object,misc,rotation,illumination,166,hard,Fictional character — not COCO,15.1349,26.1364,0.7508,0.01,16.6844,0.3629,12.4164,1.1901,3.8343,5.6716,0.0548,,FAILURE,FAILURE,,21.0,0.12650602409638553,,
Jump,122.0,0.0189632878466384,0.065183450429352,0.0245901639344262,0.0327868852459016,10.281231719345865,0.2758434160318735,0.0526,0.0574,53.06,person,person,deformation,fast_motion,122,medium,Person mid-jump,3.564,8.4891,0.0726,0.0075,0.4529,0.8743,,,3.4381,5.7395,0.1087,,FAILURE,FAILURE,,11.0,0.09016393442622951,,
Jumping,313.0,0.0582195365586589,0.0781986916172219,0.0,0.0063897763578274,62.05515500293023,0.0582195365586589,0.7071,0.984,88.35,person,person,fast_motion,motion_blur,313,medium,Jumping person,4.1241,9.4302,0.0961,0.0004,2.552,0.8468,,,4.3372,-0.0,0.2843,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,36.0,0.11501597444089456,,
Liquor,1741.0,0.1737586502266306,0.2079264790350373,0.2050545663411832,0.2033314187248707,5.189595714830228,0.4554949576302785,0.7202,0.7967,44.67,object,misc,occlusion,illumination,1741,hard,Bottle — partial COCO class,0.1183,0.3603,0.0159,0.0002,0.0984,0.939,20.787,0.9649,3.8521,5.9571,0.1789,0.7544,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,1237.0,0.710511200459506,,
Matrix,100.0,0.0002366046192371,0.0476190476190476,0.0,0.0,153.20244103557113,0.0308228312557835,0.0937,0.13,71.23,person,person,illumination,background_clutter,100,medium,Dark scene; matrix clip,252.1641,567.0682,6.7045,0.1433,402.8566,0.2186,,,3.9367,5.7414,0.1617,,FAILURE,FAILURE,,14.0,0.14,,
MotorRolling,164.0,0.0005204810205201,0.0479094076655052,0.0,0.0,48.74221047775233,0.4103920776466504,0.087,0.0671,61.23,vehicle,motorcycle,fast_motion,rotation,164,medium,Motorcycle rolling,7.8439,17.6398,1.1347,0.0065,1.9449,0.8228,,,3.3366,5.3648,0.1738,,FAILURE,FAILURE,,30.0,0.18292682926829268,,
Shaking,365.0,0.0004593771772509,0.0476190476190476,0.0,0.0,184.2843352829221,0.0856601649761099,0.6474,0.9507,51.78,person,person,camera_motion,background_clutter,365,medium,Shaky camera,2.7157,7.7651,0.1627,0.0024,1.8301,0.7976,,,3.6706,4.1223,0.1563,,FAILURE,SUCCESS,CSRT_succeeds_YOLO_fails,7.0,0.019178082191780823,,
Skiing,81.0,0.0034916952448875,0.049970605526161,0.0,0.0,55.15630640045945,0.1998909256475533,0.0608,0.0617,85.7,person,person,fast_motion,scale_variation,81,hard,Fast skier; small target,5.4562,15.9388,0.1213,0.0004,2.0364,0.9602,18.0116,1.0034,3.9136,4.168,0.1844,0.9202,FAILURE,FAILURE,,9.0,0.1111111111111111,,
